Dataset_Old,Dataset_New,N_Classes,Dataset_WithClass
AIDA,AIDA Funnel Car,3,AIDA Funnel Car (3)
LogoDet-3K,Brand Logo,9,Brand Logo (9)
BrandSelfie,Brand Selfie,3,Brand Selfie (3)
E-Commerce,E-Commerce Category,41,E-Commerce Category (41)
Emotion-6,Emotion,6,Emotion (6)
good-bad,Face Sentiment,2,Face Sentiment (2)
FashionImages,Fashion Products,25,Fashion Products (25)
GenImgNet,Generated Aesthetics,3,Generated Aesthetics (3)
Generated-Ethnicity,Generated Ethnicity,4,Generated Ethnicity (4)
Generated-Gender,Generated Gender,2,Generated Gender (2)
KonIQ,Image Quality,5,Image Quality (5)
sentiment,Image Sentiment,5,Image Sentiment (5)
Brand-Styles,Luxury Brands,7,Luxury Brands (7)
intel-sceneries,Outdoor Scenery,6,Outdoor Scenery (6)
FILGRIM,Public Places,21,Public Places (21)
Unsplash-Images,Stock-photo Category,16,Stock-photo Category (16)
StoreItemColor,Store Item Color,12,Store Item Color (12)
UnBiasedEmo,Unbiased Emotion,6,Unbiased Emotion (6)
