Model,Dataset,N_Training_Samples,BATCH_SIZE,LEARNING_RATE,EPOCHS,Time_Seconds,Accuracy,BIGRAM_BOOL,BINARY_BOOL
ViT,Brand-Styles,1000.0,16.0,0.01,1.0,51.2125,0.2256267409470752,,
ViT,Brand-Styles,200.0,16.0,0.01,4.0,48.6514,0.2562674094707521,,
ViT,Brand-Styles,1000.0,16.0,0.001,4.0,85.4019,0.2646239554317549,,
ViT,Brand-Styles,200.0,16.0,0.001,4.0,53.3169,0.2116991643454039,,
ViT,AIDA,200.0,16.0,0.01,5.0,64.3342,0.3008356545961003,,
ViT,AIDA,200.0,16.0,0.001,3.0,50.3723,0.3732590529247911,,
ViT,AIDA,200.0,16.0,1e-05,10.0,93.5132,0.4512534818941504,,
ViT,AIDA,200.0,32.0,0.01,6.0,66.7252,0.3426183844011142,,
ViT,AIDA,200.0,32.0,0.001,5.0,58.7555,0.3008356545961003,,
ViT,AIDA,200.0,32.0,1e-05,18.0,144.8703,0.4456824512534819,,
ViT,AIDA,200.0,64.0,0.01,6.0,67.8369,0.3064066852367688,,
ViT,AIDA,200.0,64.0,0.001,4.0,55.5974,0.3537604456824512,,
ViT,AIDA,200.0,64.0,1e-05,32.0,219.6246,0.4568245125348189,,
ConvNeXtBase,AIDA,200.0,16.0,0.01,1.0,60.7557,0.3565459610027855,,
ConvNeXtBase,AIDA,200.0,16.0,0.001,2.0,69.8523,0.3565459610027855,,
ConvNeXtBase,AIDA,200.0,16.0,1e-05,4.0,98.0656,0.415041782729805,,
ConvNeXtBase,AIDA,200.0,32.0,0.01,2.0,70.5069,0.3426183844011142,,
ConvNeXtBase,AIDA,200.0,32.0,0.001,5.0,105.6096,0.3008356545961003,,
ConvNeXtBase,AIDA,200.0,32.0,1e-05,4.0,99.4022,0.3871866295264624,,
ConvNeXtBase,AIDA,200.0,64.0,0.01,6.0,119.5399,0.3008356545961003,,
ConvNeXtBase,AIDA,200.0,64.0,0.001,6.0,117.9946,0.3426183844011142,,
ConvNeXtBase,AIDA,200.0,64.0,1e-05,6.0,118.0468,0.4206128133704735,,
ResNet,AIDA,200.0,16.0,0.01,1.0,35.5952,0.3509749303621169,,
ResNet,AIDA,200.0,16.0,0.001,2.0,38.5574,0.3983286908077994,,
ResNet,AIDA,200.0,16.0,1e-05,1.0,33.9329,0.2869080779944289,,
ResNet,AIDA,200.0,32.0,0.01,1.0,33.0483,0.3398328690807799,,
ResNet,AIDA,200.0,32.0,0.001,2.0,42.5768,0.3565459610027855,,
ResNet,AIDA,200.0,32.0,1e-05,2.0,40.2961,0.309192200557103,,
ResNet,AIDA,200.0,64.0,0.01,1.0,33.5445,0.3426183844011142,,
ResNet,AIDA,200.0,64.0,0.001,1.0,32.9888,0.3008356545961003,,
ResNet,AIDA,200.0,64.0,1e-05,1.0,34.0732,0.2952646239554317,,
ViT,Brand-Styles,1000.0,16.0,1e-05,32.0,381.8334,0.8746518105849582,,
ViT,Brand-Styles,200.0,16.0,1e-05,32.0,211.4006,0.4707520891364902,,
ViT,Brand-Styles,1000.0,32.0,0.01,6.0,102.0192,0.245125348189415,,
ViT,Brand-Styles,200.0,32.0,0.01,8.0,74.2225,0.2562674094707521,,
ViT,Brand-Styles,1000.0,32.0,0.001,1.0,46.0979,0.2395543175487465,,
ViT,Brand-Styles,200.0,32.0,0.001,6.0,56.9638,0.2284122562674094,,
ViT,Brand-Styles,1000.0,32.0,1e-05,32.0,323.0018,0.8523676880222841,,
ViT,Brand-Styles,200.0,32.0,1e-05,32.0,202.9314,0.4233983286908078,,
ViT,Brand-Styles,1000.0,64.0,0.01,9.0,125.1906,0.2562674094707521,,
ViT,Brand-Styles,200.0,64.0,0.01,4.0,46.9937,0.2256267409470752,,
ViT,Brand-Styles,1000.0,64.0,0.001,5.0,88.7287,0.3955431754874652,,
ViT,Brand-Styles,200.0,64.0,0.001,4.0,45.0942,0.3593314763231198,,
ViT,Brand-Styles,1000.0,64.0,1e-05,32.0,326.2869,0.8105849582172702,,
ViT,Brand-Styles,200.0,64.0,1e-05,32.0,201.193,0.3565459610027855,,
ConvNeXtBase,Brand-Styles,1000.0,16.0,0.01,1.0,113.874,0.1364902506963788,,
