Model,Dataset,N_Training_Samples,BATCH_SIZE,LEARNING_RATE,EPOCHS,Time_Seconds,Accuracy,BIGRAM_BOOL,BINARY_BOOL
Ensemble_AllProba,Brand-Styles,1000.0,32.0,0.01,11.0,1.57,0.9498607242339832,,
Ensemble_Descriptions,Brand-Styles,1000.0,16.0,0.001,15.0,1.47,0.935933147632312,True,True
ConvNeXtBase,Brand-Styles,1000.0,16.0,1e-05,19.0,608.8515,0.9275766016713092,,
ViT,Brand-Styles,1000.0,16.0,1e-05,32.0,381.8334,0.8746518105849582,,
GPT,Brand-Styles,1000.0,,,,,0.841225626740947,,
ResNet,Brand-Styles,1000.0,32.0,0.001,5.0,102.6086,0.7075208913649025,,
Xception,Brand-Styles,1000.0,16.0,0.01,7.0,221.0,0.6378830075263977,,
VGG19,Brand-Styles,1000.0,64.0,0.01,11.0,478.22,0.621169924736023,,
Inception,Brand-Styles,1000.0,16.0,0.001,13.0,219.97,0.582172691822052,,
Phi,Brand-Styles,1000.0,,,,,0.3955431754874652,,
Full-NN-Training,Brand-Styles,1000.0,32.0,1e-05,3.0,23.65,0.3231197771587744,,
Ensemble_Descriptions,BrandSelfie,1000.0,32.0,0.01,11.0,0.63,0.9721448467966574,True,True
Ensemble_AllProba,BrandSelfie,1000.0,16.0,0.01,15.0,5.65,0.9610027855153204,,
ConvNeXtBase,BrandSelfie,1000.0,16.0,1e-05,6.0,293.0596,0.9526462395543176,,
ViT,BrandSelfie,1000.0,64.0,1e-05,32.0,399.9554,0.9526462395543176,,
ResNet,BrandSelfie,1000.0,64.0,0.001,3.0,87.8592,0.8913649025069638,,
Inception,BrandSelfie,1000.0,16.0,0.001,13.0,220.49,0.8774373531341553,,
Xception,BrandSelfie,1000.0,16.0,0.001,15.0,472.1,0.8774373531341553,,
VGG19,BrandSelfie,1000.0,16.0,0.001,7.0,364.85,0.7688022255897522,,
GPT,BrandSelfie,1000.0,,,,,0.7047353760445683,,
Full-NN-Training,BrandSelfie,1000.0,64.0,1e-05,4.0,37.77,0.5905292479108635,,
Phi,BrandSelfie,1000.0,,,,,0.5598885793871866,,
Ensemble_AllProba,E-Commerce,1000.0,16.0,0.01,11.0,0.41,0.7771587743732591,,
